PN,No.,Gloss,Chinese,Frame,PB (Matisoff 2003),PN (Bradley 1979b),PTB,PLa,PLa initial,PLa rhyme,PLa tone,CW-QY,C-WC,C-LJ,C-LB,C-CJ,C-QS,CE-YA,W-SZP,W- SLZ,W-DT,W-YL,E-DC,E-HS,E-TS,XZ,YL (young),YL (old),MD,Eka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,44,yesterday-1,昨天,他__过来,,*ʔəmi¹,,a²ʔni³,0,a,2,aŋ³³,ɑ̃³³,aŋ³³,ɑ²¹nɑ³³,an³³,ɑn³³,a²¹nɛ³³,"an³³, a³³na³³",a³³ni³³,a²¹ni³³,a⁴⁴na³³,a²¹nɛ³³,a²¹ni³³,a²¹nə³³,a²¹ɲi³³,a²¹ni³³,a²¹ni³³,a²¹ni³³,a²¹mi²⁴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,four years ago-1,四年前,他__过来,,,,a²ɣu²ni̠H,0,a,2,,,,,,,,a³³xɛ²¹ni⁴⁴,,a²¹wu²¹ni⁴⁴sɛ³³,,li³³kʰu²¹n̩²¹sə⁵⁵,i³³kʰɔ⁴²ɣɨ²¹dɨ²⁴,,ʂʅ³³wu²¹nɛi̠³³,sɿ³³lu³³i⁵³,sɿ³³lu³³i⁵³,lɨ³³kʰu²¹wo²¹sɛ⁵³,li³³kʰu²¹gɨi⁵³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,soil; dirt-1,土(干) (土壤),很好,,,,e²tsʰi²,0,e,2,i²¹tsʰɿ²¹,e²¹tsʰɿ²¹,i⁵⁵tsʰɿ²¹,i²¹tsʰɿ²¹,n⁵⁵tsʰɿ²¹,n̩⁵⁵tsʰɿ²¹,n̩²¹tsʰɿ²¹,i²¹tsʰɿ²¹,e⁵³tsʰɿ²¹,ai²¹tsʰɿ²¹,ni⁵⁵tsʰɿ²¹,ei²¹tɕʰi²¹,ʔn̩²¹tsʰɿ²¹,i⁵⁵tsʰɿ²¹,ai²¹tsʰɿ²¹,mi³³,mi²⁴,n̩²¹tɕʰi²¹na̠³³,i²⁴tɕʰi²¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,81,wild boar (b)-1,野猪,他家有三头__,,,,e²ve̠ᶫ,0,e,2,i̤²¹vɛ̠²¹,,i²¹væ̠²¹,i̠²¹viɛ̠²¹,ɛ²¹vɛ̠²¹,i̠²¹vi̠²¹,i²¹vi̠²¹,,,,i²¹vɛ⁴⁵³,e²¹vei⁴²,ni²¹vi̠²¹,i²¹vi̠²¹,,ai²¹vei⁵³,ai²¹vei⁵³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,792,defecate-2,解大便,他__过,ʔe:k,*ʔ-ko²,,kʰji²ɛ²,0,ɛ,2,tsʰɿ²¹ɛ̤²¹,tsʰɿ²¹ɛ²¹,tsʰɿ²¹hã⁵⁵,,tɕʰi²¹hɑ⁵⁵,kʰi²¹hɑ⁵⁵,tɕʰi²¹hã⁵⁵,tsʰɿ²¹ɛ̃˞²¹,tsʰɿ²¹ɛ̃˞²¹,tsʰɿ²¹ɛ̃˞²¹,tsʰɿ²¹ɛ̃²¹,tɕʰi²¹xɔ⁵⁵,tɕʰi²¹hɔ⁵⁵,tsʰɿ²¹ɛ̃²¹,tsʰɿ²¹ɛ̃˞²¹,tsʰɿ²¹ɛ˞²¹,,ɛ²¹,tɕʰi²¹ɛ²⁴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,107,duck (b),鸭子,他家有三只__,,*ʔ-bay² & *ɡapL,,a¹ɛ̠H,0,ɛ̠,H,,,,,,,,ɛ⁴⁴ɛ⁴⁴,ai⁵⁵ɛ⁵⁵,a⁴⁴ɛ⁴⁴,ɛ⁴⁴ɛ⁴⁴,ɔ²⁴a³³,a²¹ɣɨ³³,ã⁵⁵ã³³,ã³³ã³³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,43,today-1,今天,他__过来,,*yakL (ʔ)ne³,,i²ʔni³,0,i,2,"ʔɲiŋ³³,iŋ³³",ĩ³³,iŋ³³,"n̩²¹nɑ³³, in²¹nɑ³³",in³³,in³³,̹i²¹nɛ³³,i̠⁴³na³³,i³³ni³³,ei²¹ni³³,i³³na³³,i²¹nɛ³³,i²¹ni³³,i̠²¹nə³³,ĩ³³ɲĩ³³,n̩²¹ti⁵⁵ĩ³³,n̩²¹ti⁵⁵ĩ³³,i²¹ni³³,i²¹mi²⁴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,70,this evening-1,今晚,他__过来,,*ʔ-kutL,,i²mi¹,0,i,2,i²¹mi⁵⁵,i²¹mi⁵⁵,i²¹mi⁵⁵,n̩²¹mi⁵⁵,i²¹mi⁵⁵,i²¹mi⁵⁵,i²¹mi²⁴,i²¹mi²⁴,i²¹mi²⁴,ɛ²¹mɛ²⁴,i²¹miɛ²⁴,i²¹mi²⁴,i²¹mi²⁴,i²¹mi²⁴,y²¹my²⁴,n̩²¹ti⁵⁵sa³³pʰi³³,n̩²¹ti⁵⁵sa³³pʰi³³,ɪ²¹mi⁵⁵,i²¹mi²⁴la²¹vaŋ⁵³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,789,hiccup,打嗝,他__过,,*ʔutH,,ɨ̠H,0,ɨ̠,H,ti⁵⁵kɨ³³ɦou²¹mʉ³³,,ti⁵⁵kɨ²¹,ɛ²¹tsʰɿ²¹dɛ²¹,kɨ³³to⁵⁵u²¹,kɨ³³tɨ̃⁵⁵dɛ²¹,ɨ⁵⁵tɨ²¹,kɨ²⁴dɛ²¹,ta²¹kɨ²⁴,ɨ⁴⁵tɨ²¹,ɨ²¹dɛ²¹,ə³³tə²¹,ɨ⁵⁵tɨ²¹pɨ⁵⁵,ə⁵⁵tə⁵⁵,ɨ⁴⁵³tɨ³²dɛ˞²¹,ɨ²¹m̩³³,ɯ²¹mv̩³³,ɛ³³fu³³kɨ³³,a²⁴kʰə̠³³ʔə̠²¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,790,belch,打饱嗝,他__过,,*utL/an¹,,ɨ̠ᶫ,0,ɨ̠,L,ti⁵⁵kɨ³³ɦou²¹mʉ³³,,ɛ²¹o²¹mɨ⁵⁵,,ɛ²¹kʰɨ²¹m̩⁵⁵,ɛ²¹fv̩²¹di²¹,o̠u²¹pʰɨ²¹mɨ²⁴,ĩ⁵⁵kʰu²¹sɛ³³,ta²¹tʂʰou⁴⁴ai²¹,ɨ⁴⁵tɨ²¹,ɛ²¹tɕʰi²¹dɛ²¹,ə²¹pʰə²¹,,,ɨ²¹dɛ²¹,ɨ²¹m̩³³,,ə²¹,a²⁴kʰə̠³³ʔə̠²¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,963,in front (a),前面,他在,,*ʔ-ru² s-re³,,u²si¹,0,u,1,ʔɲi²¹di²¹,wu²¹pɛ²¹,y²¹n̩²¹ɕi⁵⁵,ɣɨ⁵⁵n̩²¹si⁵⁵,u²¹dɛ²¹,u²¹dɛ²¹,ə²¹ɕi⁵⁵,wu⁴⁴by²¹,ɣɨ²⁴bi²¹,wu²¹ɕy²⁴,ɣɨn²⁴,ə²¹sə⁵⁵,u²¹ʃu⁵⁵,wu²¹ɕi⁵⁵,wu²¹ɕi⁴⁴,ɣɨ²¹hei³³,,wo²¹sɛ⁵⁵,sa⁵⁵pə²¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
