PN,No.,Gloss,PLa,CW-QY,C-WC,C-QS,C-LJ,C-LB,C-CJ,CE-YA,W-SZP,W- SLZ,W-DT,W-YL,E-DC,E-TS,E-HS,XZ,MD,Eka,YL,YL (old),PTB,Chinese,Frame,PB (Matisoff 2003),PN (Bradley 1979b),PLa initial,PLa rhyme,PLa tone
321,1,sky (a),mo²di²ma³,n̩²¹di²¹ma³³,n̩²¹di²¹,,,n̩²¹di²¹,,ə̃²¹diŋ²¹,n̩²¹dɛ²¹,n̩²¹di²¹,di⁴⁴mə̪²¹,n̩²¹di²¹ma³³,mə²¹,,,,i⁵⁵sɛ⁵⁵mo³³,a³³mi²⁴mo³³,ŋ̩²¹kɤ̪²¹,ŋ̩²¹kɤ̪²¹,,天 (天空),很高,məw²,*mo²,m,o,2
321,1,sky (b),mo²daŋ¹,,,u²¹dy⁵⁵mɑ³³,n̩²¹du⁵⁵ma³³,,n̩²¹du⁵⁵,,,,,,,n̩̩²¹da²⁴,n̩²¹du²⁴,n̩²¹da²¹mo³³,,,,,,天 (天空),很高,məw²,*mo²,d,aŋ,1
317.1,2,sun,a¹mo²ɣi¹,a⁵⁵ŋ̪²¹ɣ̩ɨ⁵⁵ma³³,,,,,ɑ⁵⁵ŋ̪²¹ɣɨ⁵⁵,a⁵⁵ɣɨ⁵⁵ma³³,,"a⁵⁵ŋ̩²¹ɣo³³ma³³, a⁵⁵mv̩²¹ɣɨ³³ma³³",,,a⁵⁵mə²¹ji²⁴mɔ³³,a⁵⁵ŋ̩²¹ɣɨ³⁴mu³³,a⁵⁵ŋ̩²¹ɣɨ²⁴mɔ³³,a³⁵mv̩²¹hĩ⁴⁴mo³³,a⁵⁵mi⁵⁵,a³³mi²⁴,a⁵⁵m̩²¹tsʰa³³,a⁵⁵m̩²¹tsʰa³³,,太阳,很高,,*mo² (ʔ)-ne¹,m,o,2
338,3,sunshine,a¹mo²tsʰa¹,a⁵⁵n̩²¹tsʰa⁵⁵,ɑ⁵⁵n̩²¹tsʰɑ⁵⁵,ɑ⁵⁵n̩²¹tsʰɑ⁵⁵,a⁵⁵n̩²¹tsʰa⁵⁵ɣɨ³³,ɑ⁵⁵n̩²¹tsʰɑ⁵⁵,ɑ⁵⁵n̩²¹tsʰɑ⁵⁵,a⁵⁵n̩²¹tsʰa⁵⁵mu³³,n̩²¹tsʰa²⁴,"ɑ⁵⁵ŋ̩²¹tsʰɑ³³, a⁵⁵mv̩²¹tsʰɑ³³",a⁵⁵m̩²¹tsʰo³³,a⁵⁵n̩²¹tsʰa⁵⁵,a⁵⁵mə²¹tsʰɔ⁵⁵,a⁵⁵m̩²¹tsʰɔ⁵⁵,a⁵⁵n̩²¹tsʰɔ⁵⁵,a³⁵mv̩²¹tsʰo³³,a⁵⁵mi⁵⁵kʰi⁵⁵pʰɛ³³,a²⁴tsʰo²⁴sɛ⁵⁵jo²¹,a⁵⁵m̩²¹tsʰa³³sai⁵⁵,a⁵⁵m̩²¹tsʰa³³sai⁵⁵,,阳光,很亮,məw²-ts(y)a¹,*tsa¹ & *pu¹,tsʰ,a,1
318,4,moon,xa³ba³,xa³³ba³³kʰɨ⁵⁵,xɑ³³bɑ³³kʰɨ⁵⁵,xɑ³³bɑ³³,xa³³ba³³kʰɨ⁵⁵,xɑ³³bɑ³³kʰɨ⁵⁵,xɑ³³bɑ³³,xa³³ba³³la³³,xa³³ba³³kʰə³³,"xa³³ba³³kʰɨ²¹, a²¹liaŋ⁵⁵boŋ²¹",a⁴⁴bo³³,xɐ³³ba³³kʰɨ⁵⁵,xa³³bɔ³³bɔ³³,a³³bɔ³³kʰɨ⁵⁵,xa³³bɔ³³mɔ³³,a²¹bu²⁴ba³³mo³³,xo³³bo³³mo³³,xa⁵⁵bo³³,xa³³ba³³kʰɨ³³,xa³³ba³³kʰɯ³³,,月亮,很好,s-/ʔ-la³; mwatᶫ,*bəla³,x,a,3
319,5,star,kjɛ¹,kɨ⁵⁵,kɨ⁵⁵,tɕɛ⁵⁵zɑ²¹,kɨ⁵⁵,kɨ⁵⁵,tɕɛ⁵⁵ɕɛ²¹,kɛ⁵⁵,kɛ²⁴za²¹,kɛ˞²⁴,kɛ²⁴,kɨ⁵⁵,kɛ˞⁵⁵,kɛ⁵⁵,kɛ˞⁵⁵,kɛ˞⁴⁴o³³,a⁵⁵kɛ⁵⁵kɛ⁵⁵,a²⁴ki⁵⁵jo³¹,kɛ˞³³,kɛ˞³³,,星星,三颗,ʔ-grəy¹ ; mwatᶫ,*C-gray¹,kj,ɛ,1
320,6,cloud,a¹mo²ti¹,a⁵⁵n̩²¹ti⁵⁵,mu⁵⁵ɣɨ³³,ti⁵⁵,a⁵⁵n̩²¹ti⁵⁵,ti⁵⁵,ɑ⁵⁵mu²¹ti⁵⁵,a⁵⁵n̩²¹ti⁵⁵,ti²⁴,neŋ⁵³kʰə²¹,di²⁴pa³³,ti⁵⁵,ti⁵⁵tɕʰi³³,tɕi⁵⁵,a⁵⁵n̩²¹ti⁵⁵,di⁵⁵dɛ˞³³,mi⁵⁵kɨ²¹,mə²⁴,mi⁵⁵kʰɔ̪³¹,mi³⁵kʰɔ̪³¹,,云,三朵,,*mo¹ C-dim¹,t,i,1
326,7,wind,a¹mo²hi¹,a⁵⁵m̩²¹ɕy⁵⁵,n̩²¹ɕi⁵⁵,ɑ⁵⁵n̩²¹fi⁵⁵,a⁵⁵n̩²¹ɕi⁵⁵,ɑ⁵⁵n̩²¹ɕi⁵⁵,ɑ⁵⁵mu²¹ɕi⁵⁵,a⁵⁵ŋ̩²¹ɕy⁵⁵,n̩²¹ɕi²⁴,me²¹χe²⁴,mə²¹hɛ²⁴,ɐ̃⁵³ɕi⁵³; an⁵³ɕy⁵⁵,mə²¹ɕi⁵⁵,a⁵⁵m̩²¹hĩ⁵⁵,a⁵⁵n̩²¹ʃɯ⁵⁵,a³⁵mv̩²¹hĩ²⁴,a⁵⁵mi²¹fi⁵⁵,a²⁴xi²⁴,mi²¹he³³,mi²¹hi˞̃³³,,风,很大,s/ʔ-ləy¹,*le¹,h,i,1
324,8,rain,a¹mo²ha¹,a⁵⁵ŋ̩²¹ha⁵⁵,ɑ⁵⁵ŋ̩²¹hɑ⁵⁵,ɑ⁵⁵ŋ̩²¹hɑ⁵⁵,a⁵⁵ŋ̩²¹ha⁵⁵,ɑ⁵⁵ŋ̩²¹hɑ⁵⁵,ɑ⁵⁵mu²¹hɑ⁵⁵,ã⁵⁵hã⁵⁵,a⁵⁵mu²¹hã³³,a⁵⁵m̩²¹xa³³,a⁵⁵m̩²¹ho²⁴,ɐ̃⁵⁵hɐ̃⁵⁵,a⁵⁵mə²¹xɔ⁵⁵,a⁵⁵m̩²¹hɔ⁵⁵,a⁵⁵n̩²¹hɔ⁵⁵,a³⁵mv̩²¹hõ²⁴,a⁵⁵mi²¹xo⁵⁵,a²⁴xo²⁴,a⁵⁵m̩²¹ha³³,a⁵⁵mə²¹hã³³,,雨,很大,,*r-ywa/we¹,h,a,1
328,9,lightning,a¹mo²bja̠ᶫ,a⁵⁵m̩²¹ba̠²¹,a⁵⁵m̩²¹ba̠²¹,ɑ⁵⁵m̩²¹ba̠²¹,a⁵⁵m̩²¹ba̠²¹,ɑ⁵⁵m̩²¹ba̠²¹,ɑ⁵⁵m̩²¹ba̠²¹,a⁵⁵m̩²¹bia̠²¹,m̩²¹pɛ⁵³,a⁵⁵mv̩²¹bɛ⁵³,a³⁵m̩²¹bɛ³⁵⁴,am⁵³ba̤²¹,a⁵⁵mə²¹biɛ⁴²,a⁵⁵m̩²¹bɛ̠⁴²,a⁵⁵m̩²¹bia⁴²,a³⁵mv̩²¹biɛ˞³³,a⁵⁵m̩²¹bæ²¹,a³⁵ba̠²¹,a⁵⁵m̩²¹bɛ˞⁴²,bɛ˞⁴²,,闪电,三道,,*b-lyapL,bj,a̠,L
