PN,No.,Gloss,PLa,CW-QY,C-WC,C-QS,C-LJ,C-LB,C-CJ,CE-YA,W-SZP,W- SLZ,W-DT,W-YL,E-DC,E-TS,E-HS,XZ,MD,Eka,YL,YL (old),PTB,Chinese,Frame,PB (Matisoff 2003),PN (Bradley 1979b),PLa initial,PLa rhyme,PLa tone
327,10,thunder,a¹mo²go²,a⁵⁵ŋ̩̩²¹ɣə²¹,ŋo²¹,,a⁵⁵ŋ̩²¹wu²¹,,,a⁵⁵ŋ̩̩²¹wei²¹,a⁵⁵mv̩²¹ɣo²¹,a⁵⁵mv̩²¹ɣo²¹,m̩²¹gv̩²¹,,mə²¹gə²¹ti²¹,ŋ̩²¹gɔ²¹tɕi²¹,a⁵⁵n̩²¹gu²¹ti²¹,a³⁵mv̩²¹gõ²¹,ŋ̩²¹gu²¹,,m̩²¹go²¹,m̩²¹go²¹,,雷,很大/响,trek,*ɡyan² & *ɡro²,g,o,2
322,11,rainbow (a),a¹mo²se¹ɣi¹daŋ¹,,,,,,,,vu²⁴sa³³,a⁵⁵mv̩²¹sɛ⁵⁵ɣɨ³³,a⁵⁵m̩²¹sɛ⁵⁵ɣɨ²⁴,,a⁵⁵mə²¹sɛ⁵⁵ji³³dɔ³³,,a⁵⁵ŋ̩²¹ʂɛ˞⁵⁵ɣɨ²⁴du³³,a³⁵mv̩²¹ʂɛ⁴⁴ɣɨ⁴⁴do³³,a⁵⁵sɛ⁵⁵ɣɨ³³,a²⁴fio⁵³ɣɨ²⁴,ɣɨ⁴⁵bɨ²¹ɕio⁵⁵lo⁴²,ɣɯ⁴⁵bɯ²¹ɕio⁵⁵lo⁴²,,彩虹,三道,,*ʃi³,,,
322,11,rainbow (b),a¹mo²tsʰa¹ɣi¹daŋ¹,a⁵⁵n̩²¹tsʰa⁵⁵ʔɲɛ̠³³də⁵⁵,ɑŋ⁵³tsʰɑ⁵⁵ɣɨ⁵⁵du⁵⁵,ɑ⁵⁵ŋ̩²¹ɣɨ⁵⁵du⁵⁵,a⁵⁵n̩²¹tsʰa⁵⁵jɛ³³du⁵⁵,ɑ⁵⁵n̩²¹tsʰɑ⁵⁵ɣɨ⁵⁵du⁵⁵,ɑ⁵⁵m̩²¹tsʰa⁵⁵i³³do̠̠³³,a⁵⁵n̩²¹tsʰa⁵⁵lɛ²¹ɣɨ²⁴,,,,an⁵³tsʰa⁵⁵ɣɨ⁴⁴du⁴⁴,,a⁵⁵m̩²¹tsʰɔ⁵⁵da³⁴,,,,,,,,彩虹,三道,,*ʃi³,,,
,12,snow,va²,va̤²¹,va²¹,vɑ²¹,va²¹,vɑ²¹,vɑ²¹,va²¹,va²¹,i²⁴fv̩²⁴,ɣʷo²¹,vɐ²¹,ɣɔ²¹,ɣɔ²¹,va²¹,ɣʷo²¹,mi⁵⁵pʰu⁵⁵,vo³³ɕɛ²¹,va²¹,va²¹,,雪,很白,,*wa²,v,a,2
336.1,13,water (a),ɣi¹,ɣɨ⁵⁵,ɣɨ⁵⁵,ɣɨ⁵⁵,ɣɨ⁵⁵,ɣɨ⁵⁵,ɣɨ⁵⁵,ɣɨ²⁴,ɣɨ²⁴,ɣɨ²⁴,ɣɨ²⁴,ɣɨɐ²⁴,ji²⁴,ɣɨ²⁴,ɣɨ²⁴,ɣɨ²⁴,ɣɨ⁵⁵,,ɣɨ³³,ɣɯ²⁴,,水,三桶,rəy¹,*re¹ ʔ-ɡrakH & *laŋ¹,ɣ,i,1
336.1,13,water (b),gje̠H,,,,,,,,,,,,,,,,ŋ̩³³gɛ̠³³,ŋ²⁴gi³³,,,,水,三桶,,*n̩²¹ ʔ-ɡrakH,gj,e̠,H
,14,fog,mu¹,mu⁵⁵ɣɨ³³,mu⁵⁵ɣɨ³³,,mu⁵⁵ɣɨ³³,mu⁵⁵ɣɨ³³,tsʰɑ²¹mu⁵⁵,mɨ̃⁵⁵,ti²⁴kv̩²¹,mu⁵⁵ɣɨ³³,nɛ⁵⁵mɨ²¹kʰɨ²¹,mu⁵⁵ɣɨ³³,mə²⁴ə²¹gə²¹,mi²⁴zɿ³³,me⁴⁵gɨ²¹,a³⁵mv̩²¹mi³⁴dzɿ³³kʰv̩²¹,mi⁵⁵kɨ²¹,mə²⁴,mi⁵⁵kʰɔ̪³¹,mi³⁵kʰɔ̪³¹,,雾,很大,"dʑan¹, muŋ (PTB)",,m,u,1
,15,frost,ʔni¹pʰu¹,i⁵⁵fv̩⁵⁵,i⁵⁵fv̩⁵⁵,n̩⁵⁵fv̩⁵⁵,ɛ⁵⁵fv̩⁵⁵,tɕy²¹ɕy⁵⁵,m̩⁵⁵fv̩⁵⁵,ə̃⁵⁵xə̃⁵⁵,ni⁵⁵fv̩²⁴,i²⁴fv̩²⁴,ni⁴⁵pʰv̩³³,ni⁵⁵kʰv̩⁵⁵,i⁵⁵fɤ̪⁵⁵,i²⁴fv̩⁵⁵,ʔŋ̩⁵⁵fv̩⁵⁵,ji³⁵pʰᶠv˞̩⁵⁵,mi⁵⁵pʰu⁵⁵,mi²⁴pʰv̩²⁴,i⁵⁵fv̩³³,i³⁵fv̩³³,,霜,很白,,,ʔn,i,1
,16,dew,kjy²,ky̤²¹,tɕy²¹,tɕy²¹,tɕy²¹,tɕy²¹,tɕy²¹,tsɿ²¹,tɕy²¹,tɕy²¹ɣɨ²⁴,tɕy²¹,tɕy²¹ɣɨ²⁴,tsə²¹ji²⁴,tɕu²¹tsʰɿ²¹,tʃɨ²¹ɣɨ²⁴,tɕy²¹ɣɨ²⁴,tsɿ²¹ɣɨ⁵⁵,tsɿ²¹ɣɨ²⁴,lu³³suei²¹,lu³³suei²¹,,露,很多,ʔ-dzi²,,kj,y,2
325,17,hail,ʔlo̠Hha¹,ʔlo³³ha⁵⁵,ʔlo³³ha⁵⁵,vɑ²¹lo̠³³,ʔlo³³ha⁵⁵,lo̠³³hɑ⁵⁵,vɑ²¹lo̠³³,lo̠³³bo̠³³,lv̩³³,i²⁴fv̩³³kʰɑ³³,ɣʷo²²tɛ³³,lõ⁴⁴hã⁴⁴,tsa⁵⁵bu⁵⁵lu⁵⁵,dzu⁵⁵bu⁵⁵,zɔ⁵⁵bɔ⁵⁵,ɣʷo²¹sɛ˞²¹,ko²¹sɛ²¹,vo²¹pʰoŋ⁵³,va²¹,va²¹,,雹 (雹暴),很大,,*wa²,ʔl,o̠,H
323,18,earth,ʔmi¹di²,mi⁵⁵,mi⁵⁵,mi⁵⁵,mi⁵⁵ti³³,mi⁵⁵,mi⁵⁵,mi²⁴di²¹,mi²⁴di²¹,mv̩⁵⁵di²¹,m̩³⁵di²¹,miɛ²⁴; my²⁴,mi²⁴,"m̩⁵⁵tɕi²¹, n̩̩⁵⁵tɕi²¹",mi²⁴bɛ˞²⁴,n̩³⁵³di²¹,mi⁵⁵mo³³loʔ³³,mi²⁴kʰa²¹,ai³³tsʰɿ²¹bə³³,ai³³tsʰɿ²¹bə³³,,地 (大地/草地),很大,ʔ-mləy,*ʔ-mre¹ tsa²,ʔm,i,1
,19,soil,e²tsʰi²,i²¹tsʰɿ²¹,e²¹tsʰɿ²¹,n̩⁵⁵tsʰɿ²¹,i⁵⁵tsʰɿ²¹,i²¹tsʰɿ²¹,n⁵⁵tsʰɿ²¹,n̩²¹tsʰɿ²¹,i²¹tsʰɿ²¹,e⁵³tsʰɿ²¹,ai²¹tsʰɿ²¹,ni⁵⁵tsʰɿ²¹,ei²¹tɕʰi²¹,i⁵⁵tsʰɿ²¹,ʔn̩²¹tsʰɿ²¹,ai²¹tsʰɿ²¹,n̩²¹tɕʰi²¹na̠³³,i²⁴tɕʰi²¹,mi³³,mi²⁴,,土(干) (土壤),很好,,,0,e,2
335,20,mud,e²haŋ²,i²¹hə²¹,iɛ²¹tsʰɿ²¹,ũ⁵⁵hu²¹bia²¹,i⁵⁵hu²¹,ɣɨ⁵⁵tsʰɿ²¹,n̩⁵⁵hu²¹,n̩²¹tsʰɿ²¹hu²¹,i²¹tsʰɿ²¹,e⁵³tsʰɿ²¹hõ²¹,ɣɨ²⁴tsʰɿ²¹,,ei²¹tɕʰi²¹,i⁵⁵tsʰɿ²¹ha²¹,ʔn̩²¹tsʰɿ²¹nɛ³³tɕi³³,ɣɨ³⁵tsʰɿ²¹ha²¹,u³³na̠³³,i²⁴tɕʰi²¹na̠ʔ²¹,ai³³tsʰɿ²¹la⁵³,ai³³tsʰɿ²¹la⁵³,,泥(巴),三桶,,*(m)-catH/L & *ʔputL/poŋ²,h,aŋ,2
314,21,river (a),ɣi¹dzaŋ²/ma³,,,ɣɨ⁵⁵dzu²¹,,,ɣɨ⁵⁵dzu²¹,ɣɨ²⁴dzu²¹,,,,ɣɨ⁵⁵kʰɛ²¹bɐ²¹,,,ɣɨ²⁴dza²¹,ɣɨ³⁵dʐa²¹,ɣɨ⁵⁵dza²¹,ɣɨ²⁴mo³³,ɣɨ⁵⁵xo³¹,ɣɯ²⁴xo³¹,,河,很大,,*laŋ¹,dz,aŋ,2
314,21,river (b),laŋ¹dzaŋ²,,,,lu⁵⁵tʃɑ³³,,,,,,la²⁴ʂʅ³³,,la²⁴dza²¹,,,,,,,,,河,很大,,*laŋ¹,l,aŋ,2
,22,ditch (a),ɣi¹kʰa²,ɣɨ⁵⁵kʰḁ²¹,ɣɨ⁵⁵kʰɑ̥²¹,ɣɨ⁵⁵kʰɑ̥²¹,ɣɨ⁵⁵kʰḁ²¹,ɣɨ⁵⁵kʰɑ²¹,ɣɨ²⁴kʰɑ²¹,ɣɨ²⁴kʰa²¹,ɣɨ²⁴kʰa²¹,ɣɨ²⁴kʰɑ²¹,ɣɨ²⁴kʰo²¹,ɣɨ²⁴kʰa²¹,ji²⁴kʰa²¹,ɣɨ²⁴kʰɔ²¹,ɣɨ²⁴kʰua²¹,ɣɨ³⁵kʰo²¹,ɣɨ⁵⁵kʰo²¹,o²⁴kʰo²¹,wv̩³³kv̩³³,wv̩³³kv̩³³,,沟,三条,,,kʰ,a,2
,22,ditch (b),laŋ¹ka̠ᶫ,lu⁵⁵ka̠²¹,,,,,lu⁵⁵ka̠²¹,,,lu²⁴kɑ⁵³,,lu²⁴ka⁵³,,,,,,na²¹kʰoŋ⁵³,,,,沟,三条,,,k,a̠,L
,23,pond,ɣi¹by³,ɣɨ⁵⁵by³³,ɣɨ⁵⁵by³³,tʰa³³la⁵⁵m̩²¹by³³,ɣɨ⁵⁵by³³,ɣɨ⁵⁵by³³,ɣɨ⁵⁵by³³,ɣɨ²⁴by³³,ɣɨ²⁴by³³,ɣɨ²⁴dɤ̪²¹,ɣɨ²⁴by³³,ɣɨ²⁴biɛ³³; ɣɨ²⁴by³³,ji²⁴bə³³,ɣɨ²⁴bʉ³³,ɣɨ²⁴bu³³,ɣɨ³⁵dv̩˞²¹,ɣɨ⁵⁵dəŋ³³,ɣɨ²⁴la²¹bo³³,a²¹bə³³,a²¹bə³³,,池塘,三个,,,b,y,3
,24,puddle,ɣi¹by³za²,,,tʰa³³la⁵⁵m̩²¹by³³a³³pi⁵⁵za²¹,ɣɨ⁵⁵by³³za²¹,ɣɨ⁵⁵by³³wu⁵⁵,ɣɨ⁵⁵by³³ɑ²¹pɛ⁵⁵zɑ²¹,ɣɨ²⁴by³³za²¹,ɣɨ²⁴by³³za²¹,ɣɨ²⁴dɤ̪²¹ʐu²⁴,ɣɨ²⁴by³³zo²¹,ɣɨ²⁴bi³³za²¹; ɣɨ²⁴by³³za²¹,bə³³zɔ²¹,ɣɨ²⁴bʉ³³zɔ²¹,ɣɨ²⁴bu³³zɔ²¹,ɣɨ³⁵dv̩˞²¹dɛ˞³³zo²¹,ɣɨ⁵⁵dəŋ³³jo²¹,ɣɨ²⁴la²¹bo²²jo⁴²,a²¹bə³³za²¹,a²¹bə³³za²¹,,小池塘,三个,,,,,
,25,well inside,tsɛ³du²,tsɛ³³də²¹,,,,,,tsɛ³³də²¹,,,,,tɕɛ³³dɤ̪²¹,,tɕi³³dɤ̪²¹,,,,,,,井,三口,dwaŋ²,,ts,ɛ,3
,25,well outside,ɣi¹du²,ɣɨ⁵⁵də²¹,ɣɨ⁵⁵dv̩²¹,ɣɨ⁵⁵dɑ²¹bɑ²¹,ɣɨ⁵⁵du²¹,ɣɨ⁵⁵dv̩²¹,ɣɨ⁵⁵dv̩²¹,ɣɨ²⁴də²¹,ɣɨ²⁴dv̩²¹,ɣɨ²⁴dɤ̪²¹,ɣɨ²⁴dv̩²¹,ɣɨ²⁴dv̩²¹,ji²⁴dɤ̪²¹,,ɣɨ²⁴dɤ̪²¹,ɣɨ³⁵dv̩˞²¹,ɣɨ⁵⁵du²¹,na²¹bo²⁴,ɣɨ⁵⁵tɕin²¹,ɣɯ²⁴tɕin²¹,,井,三口,dwaŋ²,,d,u,2
312,26,mountain,kʰu¹dʒɛ²,"kʰə⁵⁵dʑɛ̤²¹, kʰə⁵⁵tɕɛ̤²¹",kʰv̩⁵⁵dʐv̩²¹,kʰu⁵⁵dzɑ²¹,kʰv̩⁵⁵dʒa²¹,kʰv̩⁵⁵dʐv̩²¹,kʰv̩⁵⁵dzɿ²¹,kʰə⁵⁵diŋ²¹,kʰv̩⁵⁵dʐv̩²¹,kʰɤ̪⁵⁵dʐɤ̪²¹,kᶠʰv̩³⁵dʐa³¹,kʰv̩⁵⁵dʐa²¹; kʰv̩⁵⁵dʐu²¹,kʰɤ̪⁵⁵dza²¹,kʰɤ̪⁵⁵dza²¹,kʰɤ̪⁵⁵dʐɛ˞²¹,"vv̩˞³⁵la²¹, kᶠʰv˞̩⁴⁵lɛi²¹",kʰu⁵⁵dʒa²¹,kʰv̩²⁴dʑɛ²¹,tə⁵⁵ta³¹,tə⁵⁵ta³¹,,山(土山),三座,,*kaŋ¹,kʰ,u,1
,27,cliff,ɣɛ̠̠ᶫ,va̠²¹tsɿ̠²¹,va̠²¹bɛ³³tsɿ̠³³,va̠²¹tsɿ̠²¹bɑ²¹,va̠²¹tsɿ̠²¹,va̠²¹tsɿ³³,va̠²¹tsɿ̠²¹,væ̠²¹tsɿ̠²¹,lu²⁴di³³; vɛ⁵³tsɿ³³,vɛ˞⁴³tsɿ⁵³,ɣɛ³⁵⁴,"by²¹ba³³la⁴⁴,va³⁵³",wa⁴²bɔ²¹tʰɛ⁵⁵,ŋa̠²¹tsɿ̠²¹,vɛ⁴²tsɿ⁴²bu²¹,ɣɛ˞̠³³dʑi²⁴,va²¹kʰu²¹,va̠²¹tɕi²¹,i⁵⁵kʰɛ˞⁴²,i⁵⁵kʰɛ˞⁴²,,悬崖,三座,,"*ʔ-rakᶫ, C-rakL",ɣ,ɛ̠,L
313,28,valley,laŋ¹ka̠ᶫ,kʰə⁵⁵dʑɛ̤²¹tsɿ³³,lo⁵⁵ka̠²¹,lu⁵⁵ka̠²¹,lu⁵⁵tɕy⁵⁵,lu⁵⁵ka̠²¹,kʰv̩⁵⁵tsɑ³³,lu²⁴kɛ²¹,lu²⁴kɑ⁵³,lu²⁴kɑ⁵³vɛ²¹,la²⁴ʂʅ³³ne³³,lu²⁴dʐə³³,la²⁴kɛ⁴²tɕʰi³³,la²⁴ka²¹,la²⁴kɛ⁴²la²⁴sɿ³³,la²⁴qa³³,la⁵⁵ka²¹mo³³,la²⁴ka²⁴,li³³tɛ˞³³,li³³tɛ˞³³,,(山)谷,三个,,"*C-kyoŋ¹, laŋ¹",l,aŋ,1
,29,cave,kʰu¹du¹,sy²¹kʰə⁵⁵,kʰv̩⁵⁵dv̩⁵⁵,kʰv̩⁵⁵dv̩⁵⁵,kʰv̩⁵⁵du²¹,dy²¹kʰv̩⁵⁵,va̠²¹kʰv̩⁵⁵,kʰə⁵⁵də³³,kʰv̩⁵⁵dʐv̩²¹kʰv̩²⁴,kʰɤ̪⁴⁴dɤ̪³³me⁵⁵,kᶠʰv̩²³me³³,,kʰɤ̪⁵⁵dɤ̪²¹,sɔ̠²¹kʰɤ̪⁵⁵,kʰɤ̪⁵⁵dɤ̪²⁴mi³³,saŋ²¹kʰv̩⁵⁵mɛi³³,kʰu⁵⁵dʒa²¹kʰu⁵⁵,ɛ²¹kʰv̩²⁴,,,koŋ,(山)洞,三个,"guŋ², kuŋ²",,kʰ,u,1
,30,hole (in ground),kʰu¹,kʰə⁵⁵də⁵⁵,kʰv̩⁵⁵dv̩⁵⁵,kʰv̩⁵⁵dv̩⁵⁵,kʰv̩⁵⁵du²¹,,kʰv̩⁵⁵dv̩⁵⁵,kʰə⁵⁵də³³,kʰv̩²⁴,me⁵⁵me⁵⁵,kᶠʰv̩²³me³³,tɔŋ¹³,kʰɤ̪⁵⁵dɤ̪²¹mi³³xɛ³³,kʰɤ̪⁵⁵dɤ̪²¹,kʰɤ̪⁵⁵dɤ̪²⁴,toŋ⁵⁵toŋ⁵⁵mɛi³³,ʝɛ²¹kʰu⁵⁵,ɛ²¹kʰv̩²⁴,tu⁵⁵tu⁵³,tu⁵⁵tu⁵³,koŋ,洞,三个,,,kʰ,u,1
402,31,gold,ʃɛ¹,ɕɛ⁵⁵,ʂɛ⁵⁵,ɕɛ⁵⁵,ʂa⁵⁵,ʂɛ⁵⁵,ɕɛ⁵⁵,sɛ⁵⁵,ʂɛ˞²⁴,ʂɛ˞³³,ʂɛ²⁴,ʂə⁵⁵,sɛ⁵⁵,sɛ⁵⁵,ʂɛ˞⁵⁵,ja³³ʂɛ˞⁵⁵,sɛ⁵⁵,ɕɛ²⁴,tsai³¹sɛ˞³³,dzai²¹sɛ˞³³,,金,三两,s-rwəy¹,*s-rwe¹ & *[kam],ʃ,ɛ,1
401,32,silver,pʰu¹,fv̩⁵⁵,fv̩⁵⁵,fv̩⁵⁵,fv̩⁵⁵,kʰv̩⁵⁵,fv̩⁵⁵,xə⁵⁵,fv̩²⁴,fv̩²⁴kʰɑ³³,pᶠʰv̩²⁴,kʰv̩⁵⁵,fɤ̪⁵⁵,fɤ̪⁵⁵,fɤ̪˞⁵⁵,pʰᶠv˞̩⁴⁵³,pʰu⁵⁵,na²⁴dʑi²¹,tsai³¹pʰu³³,dzai³¹pʰu³³,,银,三俩,,*plu¹ & *C-ŋwe¹,pʰ,u,1
403,33,iron (ore),xy¹,ɕy⁵⁵,xu⁵⁵,xɨ⁵⁵,ɕy⁵⁵,ɕy⁵⁵,ɕy⁵⁵tɑ⁵⁵,xu⁵⁵,ɸu²⁴,xue²⁴,xy²⁴,ɕue⁵⁵; ɕy⁵⁵,xə⁵⁵,xu⁵⁵,xɨ⁵⁵,xv̩⁴⁵³,xə⁵⁵,xə²⁴,xɨ³³,xɯ³³,,铁,很好,,*xam¹,x,y,1
,34,tin,,,la³³,,la³³,,,tʰi⁵⁵,gɨ²⁴,,ɕi²⁴,gɨ²¹,"ɕi⁵⁵pa²¹tɛ²¹, la³³",thy⁵⁵,la³³,tʰi³³,la³³,gɨ²¹,ɕi³³,ɕi³³,,锡,很好,,,,,
,35,coal,,,mei²¹,,mei²¹,,,mei²¹,mei²⁴,me²⁴,mei²¹,mei²¹,mei²¹tʰa³³,,mei²¹,mɛi²¹tʰaŋ⁵⁵,mei²¹,ɕi³³mi²¹,mei²⁴,mei²⁴,,煤,很黑,,,,,
