ID	Parameter	English	Chinese	Pinyin	Pla	CW-QY	W-SZP	E-DC	XZ	MD	Eka	YL
31	601.2	count (number)	数 (数东西)	shù	tʃa¹		tʂa⁴⁴			ku³³tʃa⁵⁵		
32	708.0	arrive	到	dào	kʰje¹	tɕʰi⁵⁵	tɕʰi²⁴	tɕʰi⁵⁵	tɕʰi⁴⁵³	kʰɛ⁵⁵	kʰɛ²¹lo³³	tɕʰi³³
33	102.0	rat; mouse	老鼠	lǎoshǔ	hɛ̠H	a⁵⁵ha̠³³	a⁴⁴hɛ̃⁴⁴	xa³³tsɿ⁴²pu⁴²	a⁵⁵hɛ̃³³	a⁵⁵tɕʰɛ²¹	a²⁴ŋa³³xa⁵⁵kʰu⁵⁵mi²¹	ɛ˞⁴⁴hɛ˞⁵³
34	100.0	sambar deer	水鹿/黑鹿	shuǐlù/héilù	tsʰe̠ᶫ		tsʰɛ⁴⁴	ma²¹lu²⁴	tsʰai³³	tɕʰɛ̠³³	tɕʰi³³ka̠ʔ²¹	tsʰai⁵⁵
35	20.0	mud	泥(巴)	ní	e²haŋ²	i²¹hə²¹	i²¹tsʰɿ²¹	ei²¹tɕʰi²¹	ɣɨ³⁵tsʰɿ²¹ha²¹	u³³na̠³³	i²⁴tɕʰi²¹na̠ʔ²¹	ai³³tsʰɿ²¹la⁵³
36	364.0	son's son	孙子	sūnzi	ʔli²pa̠ᶫ	ʔʐʅ²¹pa̠²¹	li²¹pa⁵³	li²¹pu⁴²	ʐʅ²²po³³	lu²¹pɑ̠²¹	li³³poʲ⁴²jo³¹	i²¹za²¹
37	365.0	son's daughter	孙女	sūnnǚ	ʔli²ma³	ʔʐʅ²¹ma³³	li⁴⁴ma³³	li²¹mɔ³³	ʐʅ²²mo³³	lu²¹mo³³	li²¹moʲ³³jo³¹	i²¹ma³³
38	301.0	penis	阴茎	yīnjīng	hɛ²	hɛ̤²¹	hɛ̃²¹	xɛ²¹	hɛ̃²¹	do²¹bi⁵⁵	do²¹bi²⁴	
39	263.0	thigh	大腿	dàtuǐ		pʰa̤²¹tʰuei̤²¹	kʰɨ⁵⁵tʰy³³	pʰi³³pɛ³³dzɿ³³		da⁵⁵ɣɨ²¹pɨ⁵⁵tsa²¹	bɨ⁵⁵tɕɛ²¹	li²¹ku³³vɛ˞²¹
40	304.0	tendon	筋/腱	jīn/jiàn	gju²tʃa³	gə²¹tʂa³³	gv̩²¹tʂa³³	tɕi⁵⁵tsa³³	gɤ̪˞²¹tʂo³³	xo²¹gu²¹po³³tso³³	gɨ²¹tso³³gɨ²¹mo³³	
41	838.0	wet	湿 (衣服湿)	shī	tʃʰɨ²		tʂʰʅ²¹		tʂʰʅ²¹	tsʰɿ²¹	ɣɨ²⁴tsʰɿ²¹	tsʰɿ²¹
42	838.1	wet	湿 (衣服湿)	shī	dzi²			dʑi²¹				
43	838.1	wet	湿 (衣服湿)	shī	tʃe²	tɕi⁵⁵						
44	838.2	wet	湿 (衣服湿)	shī	ha(ŋ)²							
45	286.0	lung	肺/肺脏	fèi	tsʰɛ²ma³pʰu²	tsʰɿ²¹fv̩²¹	tsʰɛ²¹ma³³fv̩²¹	tsʰɿ²¹pʰə²¹	fɛi⁴⁵³	xo²¹sɿ²¹pʰɑ²¹	ɛ²¹fv̩ʲ²⁴	fei⁴¹
46	286.1	lung	肺/肺脏	fèi	tsʰɛ²ma³pʰu²	tsʰɿ²¹fv̩²¹	tsʰɛ²¹ma³³fv̩²¹	tsʰɿ²¹pʰə²¹	fɛi⁴⁵³		ɛ²¹fv̩ʲ²⁴	fei⁴¹
47	285.0	liver	肝	gān	se²tsɛ¹	sɿ²¹tsɛ⁵⁵	sɿ²¹tsɛ²⁴	sei²¹	sɿ²¹tsɛ˞⁵⁵	xo²¹sɿ²¹	ɛ⁵⁵ɕi²¹kʰa̠ʔ³³	sɿ²¹kɨ³³
48	285.1	liver	肝	gān	se²tsɛ¹	sɿ²¹tsɛ⁵⁵	sɿ²¹tsɛ²⁴	sei²¹	sɿ²¹tsɛ˞⁵⁵	xo²¹sɿ²¹	ɛ⁵⁵ɕi²¹kʰa̠ʔ³³	sɿ²¹kɨ³³
49	278.0	stomach	胃	wèi	he̠ᶫ	hɛ̠²¹ma³³ko̠³³	xɛ⁵⁵ma³³ko³³	ni³³mɔ³³kʰɔ²¹	wɛi⁵³	xo²¹xɛ²¹mo³³	ɛ³³xɛ̠ʔ²¹mo³³	xai⁵⁵m̩²¹tʰə⁵³
50	739.0	fall; drop	掉 (掉在地下)	diào	tsʰe¹	tsʰi⁵⁵,ka⁵⁵	tsʰɛ¹³	tsʰei⁵⁵	tsi⁴⁴	tɕɛ⁵⁵a²¹	pɨ³³tɕi³³	bɛ˞³³
51	689.0	fear	怕	pà	gjo̠H	ɡuo̠³³	gu⁵³	gu³³	gu³³	gu̠³³	gu³⁵la²¹	gu⁵³
52	424.1	salt	盐	yán	tsʰa²bo̠H	tsʰa²¹bo̠³³	tsʰa²¹bu²⁴	tsʰɔ²¹bu³³	tsʰo²¹		tsʰa²¹bu³³	tsʰa²¹mi⁵⁵mi⁵³
53	424.0	salt	盐	yán	tsʰa²bo̠H	tsʰa²¹bo̠³³	tsʰa²¹bu²⁴	tsʰɔ²¹bu³³	tsʰo²¹	la²¹ba²¹kʰɨ⁵⁵	tsʰa²¹bu³³	tsʰa²¹mi⁵⁵mi⁵³
54	608.0	shoot (a gun)	射	shè	bɛ̠H	ba̠³³	bɛ⁴⁴	bɛ³³	bɛ˞³³	ba̠³³	ba̠ʔ³³	bɛ˞⁵⁵
55	898.0	HIGH	高	gāo	ʔmu¹	ə⁵⁵	ɨ̃²⁴	ɤ̪̪̃⁵⁵	ɨ̃⁴⁵³	mu⁵⁵	mu²⁴	õ³³
56	412.0	shoes	鞋	xié	kʰi¹ne̠H	kʰɨ⁵⁵nɛ̠³³	kʰɨ⁴⁴ne⁴⁴	tɕʰi⁵⁵nə³³	kʰɨ³⁵nɛi⁵³	kʰɨ⁵⁵nɛ³³	kʰi⁵⁵ni³³	kʰei⁵⁵ni⁵³
57	42.0	day	天	rì	ʔni³	ʔɲɛ³³	ĩ³³	nɛ³³	ĩ³³	ni³³	ni³³	ĩ³³
58	175.0	gourd	葫芦	húlú	pʰy²	a⁵⁵mʉ̠²¹	a²¹my⁵³	a⁵⁵pʰə²¹tʰə³³	hu²¹lu²⁴	a⁵⁵pʰɨ²¹	a²⁴pʰɨ²¹	a⁵⁵pʰɨ⁴¹
59	416.3	blanket; quilt	被子	bèizi	ʔmɛ¹bo³		mɛ⁴⁴dzɿ⁴⁴		mɛ˞⁴⁵³			
60	416.0	blanket; quilt	被子	bèizi	ʔla²ba²	ʔla²¹ba²¹		lɔ²¹bɔ²¹		la²¹bo²¹	la³³bo²¹	ɛ˞⁵⁵vv̩⁵³la²¹ba²¹
61	416.1	blanket; quilt	被子	bèizi	ʔla²ba²	ʔla²¹ba²¹		lɔ²¹bɔ²¹		la²¹bo²¹	la³³bo²¹	ɛ˞⁵⁵vv̩⁵³la²¹ba²¹
62	416.2	blanket; quilt	被子	bèizi	ʔmɛ¹bo³		mɛ⁴⁴dzɿ⁴⁴		mɛ˞⁴⁵³			
63	681.0	love	爱 (爱小孩)	ài	sɛ²	gə⁵⁵,sɛ̤²¹,fi²¹	sɛ²¹	sɛ²¹	sɛ˞²¹	goŋ²⁵	xaŋ²⁴	ɣai⁵³
64	883.0	brave	勇敢	yǒnggǎn		pʉ̤²¹		xə²¹ɕiu³³	pi⁵⁵pɨ²¹	mɔ³³jɛ²¹	ni̠³³mo³³jɛ²¹	tan²¹tsɿ³³ɣɛ˞²¹
65	859.0	fragrant	香 (花香)	xiāng	sy¹(by²)ny¹	sy⁵⁵ny⁵⁵,ʂo̠²¹	ɕy⁴⁴ny⁴⁴	ɕiɔ⁵⁵nə⁵⁵	gɨ˞²¹nɨ˞³³ɕiaŋ³³	bi²¹sa²¹	pi²⁴sa²¹	su³³bə̃²¹nə³³
66	866.0	tired	累 (疲乏/疲劳/疲倦)	lèi		va̤²¹mʉ³³		sɔ²⁴kʰu³³	tʰiɛ²¹	ɲa⁵⁵mɨ⁵⁵	vo²¹gɨ²⁴	fɛ˞⁵⁵
67	603.0	study	学	xuě	dzaŋ¹	dzu⁵⁵	dzu²⁴	dza²⁴	dza²⁴	dza⁵⁵	xĩŋ⁵³	ɣɨ⁵³
68	190.0	tobacco	烟/烟草	yān		jin³³tsɿ³³	tsʰao²¹jɛ̃n³³	i⁵⁵nə³³pʰei²¹	kʰɤ̪˞²¹mɤ̪˞²¹	a⁵⁵kʰɨ²¹	su³³mu²⁴	jo³³jo³³
69	72.0	time	时间	shíjiān	tʰa²		tʰaʔ²¹	ja³³dzɿ²⁴		jɛ²¹jaŋ²¹	ɛ²¹zaŋ⁵³	tɕʰi³³
70	116.0	eagle; hawk	老鹰	lǎoyīng	a¹dzy¹	a⁵⁵dzy⁵⁵	dʑy²⁴ma²¹nɛ³³	a⁵⁵dzə²⁴	a⁴⁵dzy³³pɑ³³mu³³	a⁵⁵dʒə⁵⁵	a²⁴dzə²⁴mo³³	tsə³³ma³³
71	939.1	half	半 (一半)	bàn	bo¹			bə²⁴				
72	939.1	half	半 (一半)	bàn	bɛ²				bɛ˞²¹			a³³bɛ˞²¹
73	939.0	half	半 (一半)	bàn	kʰy²	kʰy²¹	kᶠʰv̩²¹			kʰə²¹	ti³³kʰə²¹	
74	902.0	MANY	多	duō	mja²	kʰø⁵⁵	dzɿ²⁴ma²¹, ɛ̃³³	miɔ²¹	mo²¹	mo²¹	mo³³la²¹	ma²¹
75	781.0	swim	游泳	yóuyǒng	ɣi¹ga³	ɣɨ⁵⁵ɦa³³	ɣɨ²⁴ɣa³³	ji²⁴lə²¹	ɣɨ²⁴ka³³pi⁵⁵gu³³	ɣɨ⁵⁵vɛ²¹	lu³³lioŋ²⁴	ta⁵⁵õ⁵³
76	760.0	remain	留下	liúxià		ta̠²¹	ta³³ti⁵³	dza²⁴ti³³		ta²¹ji³³	to̠ʔ²¹tɛ³³	fai²¹tai⁵³
77	507.0	custom	风俗	fēngsú			tʂʰu³³	ɕɯ⁵⁵tu²¹	fəŋ²¹su³³	li⁵⁵ki³³	ɛ²¹li⁵³	ɕĩŋ³³
78	505.0	town	城	chéng		tʂʰəŋ²¹ʂʅ³³	tʂʰəŋ²¹ʂʅ³³	tsɛ²⁴	tʂʰəŋ²¹tsɿ³³		tsʰəŋ²¹	pa³³tsɿ³³
79	886.0	different	不同	bùtóng	ma²sy²	ma²¹sy²¹	ma²¹ɕy²¹	ma²¹sə²¹	a²¹sy²¹	ma²¹sə²¹	ma³³sə²¹	m̩²¹sə²¹
80	509.0	invocation	祈祷	qidǎo		ʂa³³fv̩³³	ta²¹pɛ²¹	sa³³fv̩³³		tə²¹ka⁵⁵tsʰa⁵⁵to³³	a²⁴ɣɨ³³xo²⁴	to²¹ko⁵³
81	498.0	gun	枪	qiāng		tsʰiaŋ⁵⁵	py²¹	tsʰv̩⁵⁵	kʰv̩˞²¹m̩²¹tʰy³³	a⁵⁵to²¹ma²¹	naŋ⁵³	tɕʰiaŋ³³
82	917.0	HOW HIGH?	有多高？				a³³ma³³sɿ²¹õ²⁴		a²¹dɨ²⁴mo³³si²¹ɨ̃⁴⁵³			kʰa³³kʰɨ³³õ³³dzɛ˞³³
83	918.0	HOW LONG?	有多长？				a³³ma³³sɿ²¹ʂʅ²⁴		a²¹dɨ²⁴mo³³si²¹ʂʅ⁴⁵³			kʰa³³kʰɨ³³sɿ³³dzɛ˞³³
84	919.0	HOW WIDE?	有多宽？						a²¹dɨ²⁴mo³³si²¹kʰuã³³			kʰa³³kʰɨ³³kʰua⁵³dzɛ˞³³
85	916.0	HOW FAR?	有多远？				a³³ma³³sɿ²¹ʝi²¹		a²¹dɨ²⁴mo³³si²¹ʝi²¹			kʰa³³kʰɨ³³vai²¹dzɛ˞³³
86	920.0	HOW BIG?	有多大？				a³³ma³³sɿ²¹ɣɛ˞²¹		a²¹dɨ²⁴mo³³si²¹ɣɛ˞²¹			kʰa³³kʰɨ³³ɣɛ˞²¹dzɛ˞³³
87	921.0	HOW DEEP?	有多深？				a³³ma³³sɿ²¹nɛ⁵³					kʰa³³kʰɨ³³nai⁵³dzɛ˞³³
88	922.0	HOW HEAVY?	有多重？						a²¹dɨ²⁴mo³³si²¹ʐʅ²¹			kʰa³³kʰɨ³³ʝi²¹dzɛ˞³³
89	85.1	dog	狗	gǒu	a¹na²					a⁵⁵no²¹	a²⁴no̠ʔ²¹	
90	112.0	crow	乌鸦	wūyǎ	a¹ŋja̠Hbɛ̠H	a⁵⁵ɲɛ̠³³ba̠³³	a⁴⁴ɲi⁴⁴bɛ⁴⁴		a⁵⁵ɲa³³bɛ³³mu³³			
91	112.1	crow	乌鸦	wūyǎ	a¹ŋja̠Hbɛ̠H	a⁵⁵ɲɛ̠³³ba̠³³	a⁴⁴ɲi⁴⁴bɛ⁴⁴	a⁵⁵nɛ³³bɛ³³	a⁴⁴ɲa⁴⁴bɛ⁴⁴mu³³			
92	112.2	crow	乌鸦	wūyǎ	a¹ne̠H	a⁵⁵ɲɛ̠³³ba̠³³				a⁵⁵nɛ̠³³	a⁵⁵ni̠³³mo³³	a⁵⁵ni⁵³
93	705.0	go down	下去	xiàqù	ze̠ᶫʒe¹	zɛ̠²¹ji⁵⁵	ze⁵⁵ʝi³³	zei⁴²ji³³	zɛi³³ʝi³⁴		jiŋ²⁴o³³	zai⁵⁵ʝi³³
94	188.0	banana	香蕉	xiāngjiāo	ʔŋja̠Hbjo²be³	ɕiaŋ³³tɕiao³³	ɲi⁴⁴be⁴⁴	ɲia³³ɲiu⁴²	ɲa³³dzɿ²¹bɛi³³	a⁵⁵dʑi²¹sɛ²¹	a³³kuiŋ²¹, a³³kuɛ²¹	pa³³tɕiao³³
95	188.1	banana	香蕉	xiāngjiāo	ʔŋja̠Hbjo²be³	ɕiaŋ³³tɕiao³³	ɲi⁴⁴be⁴⁴	ɲia³³ɲiu⁴²	ɲa³³dzɿ²¹be³³		a³³kuiŋ²¹, a³³kuɛ²¹	pa³³tɕiao³³
96	233.0	cheeks	颊	jiá	ba²	ba̤²¹kʰə⁵⁵tsɿ³³	ba²¹gv̩²⁴, pʰu²¹gu²⁴		bo²¹tɛ˞⁴⁵³		pʰa̠ʔ²¹ni³³kʰu²¹tsuɛ⁵⁵jo³¹	ba²¹wv̩²¹te³³
97	913.0	THIN (2d)	薄	báo	ba²	ba̤²¹	ba²¹	bɔ²¹	bo²¹	bo²¹	bo²¹	ba²¹
98	338.0	deaf (person)	聋(子)	lóng	ʔna²baŋ²	ʔna²¹bu²¹	na²¹bu²¹	na²¹ba²¹kʰə²¹	na²¹ba²¹	tʰa²¹	na³³tʰa⁵⁵ko²¹	na²¹bu²¹
99	125.0	spider	蜘蛛	zhīzhū		a³³mai³³	a²¹wu⁵⁵mi³³tɕi³³kʰə³³	ɲia³³mɔ³³bə²¹	a³³kaŋ⁴⁴laŋ⁴⁴tɕi̠³³	bom²¹bɛ²¹lɛ²¹xɛ⁵⁵	bi²¹laʔ³³	xam³³pao²¹
100	302.1	vulva-2	女阴	nǔyīn	bje̠ᶫ				tɤ̪˞̩²¹bɛ³³	bi³³la²¹	do⁵⁵bi³³	bĩ²¹tʂʰɛ³³
101	302.0	vulva-1	女阴	nǔyīn	tu²	tə²¹	tv̩²¹	tɤ̪²¹	tɤ̪˞̩²¹bɛ³³		do⁵⁵bi³³	
102	264.0	calf (of leg)	小腿	xiǎotuǐ		kʰɨ⁵⁵wu²¹a⁵⁵pʉ²¹pʉ²¹	xɛ⁵⁵tʰu²¹	tɕa³³pa³³dzɿ³³	kʰɨ⁴⁵³dzɿ³³ɕi⁴⁴li⁴⁴	da⁵⁵ɣɨ²¹na²¹kʰɛ³³	bɨi⁵³ta²¹tio⁵³	li²¹ku³³za²¹
103	678.0	divide; separate; distribute	分 	fēn (pèi)	by¹	by⁵⁵	by²⁴	bə²⁴	by²⁴	bɨ⁵⁵lɛ³³	bɨ²⁴	bɨ³³
104	767.0	give; BEN	给	gěi	gu²	gu²¹	gv̩²¹	gə²¹	gɨ²¹	gɨ²¹	guɛ²¹	gɨ²¹
105	4.0	moon-1	月亮	yuèliàng	ʔxa³ba³(kʰɨ¹)	xa³³ba³³kʰɨ⁵⁵	xa³³ba³³kʰə³³	xa³³bɔ³³bɔ³³, xɑ³³mɔ³³mɔ³³	a²¹bu²⁴ba³³mo³³	xo³³bo³³mo³³	xa⁵⁵bo³³	xa³³ba³³kʰɨ³³
106	4.1	moon-2	月亮	yuèliàng	ʔxa³ba³	xa³³ba³³kʰɨ⁵⁵	xa³³ba³³kʰə³³	xa³³bɔ³³bɔ³³		xo³³bo³³mo³³	xa⁵⁵bo³³	xa³³ba³³kʰɨ³³
107	126.0	insect	昆虫	kūnchóng	bo²			bə²¹				
108	126.2	insect	昆虫	kūnchóng	bi²di¹	bʉ̤²¹di⁵⁵	dzɿ²¹di²⁴		dzɿ²¹dy²⁴	bi²¹di⁵⁵	pɨ³³tɕɛ³³lɛ³³	bi²¹bi³³
109		anvil	砧 (砧子)	zhēn								
110	926.0	four	四	sì	ʔli³	ʔʐʅ³³	ʐʅ³³	li³³	ʐʅ³³	lɨ³³	li³³	ji³³
111	9.0	lightning	闪电	shǎndiàn	a¹mo²bja̠ᶫ	a⁵⁵m̩²¹ba̠²¹	m̩²¹pɛʔ⁵³	a⁵⁵mə²¹biɛ⁴²	a³⁵mv̩⁴¹biɛ˞³³	a⁵⁵m̩²¹bæ²¹	a³⁵ba̠²¹	a⁵⁵m̩²¹bɛ˞⁴²
112	897.0	NEAR	近	jìn	nɛ²	nɛ̤²¹	nɛ²¹	nɛ²¹	ɛi³³	næ²¹	a³³naŋ²¹	ai³³
113	118.0	bat	蝙蝠	biānfú	a¹py̠Hma³	mai³³ma²¹ha³³	a⁴⁴py⁴⁴	pə⁵⁵pə³³	ko⁵⁵pø̠³³	a⁵⁵pɑ̠³³	a³³pʷɨʲ⁵⁵jo³¹	jiɛ³³tʰiɛ˞³³
114	118.1	bat	蝙蝠	biānfú	a¹py̠Hma³	mai³³ma²¹ha³³	a⁴⁴py⁴⁴	pə⁵⁵pə³³	ko⁵⁵pø̠³³		a³³pʷɨʲ⁵⁵jo³¹	jiɛ³³tʰiɛ˞³³
115	570.0	carry, on back	背 (背小孩)	bēi	bo²	vi̤²¹,mɛ⁵⁵	dzɿ²¹	bə²¹	dzɿ²¹	bi²¹	bɨ²¹	bi²¹
116	802.0	blue	蓝	lán	ʔni¹	ʔɲi⁵⁵tʂʅ³³		tɕʰɛ⁵⁵	lɤ̪˞³³	kʰiu⁵⁵, kʰi⁵⁵wu⁵⁵	nɨ²⁴	tʂʰɛ˞³³
117	766.0	finish	完成	wánchéng		do̠³³	mu⁴⁴we³³	gə²⁴ja³³		ga³³	ga⁵⁵ŋo³³	pai³³tɛ³³lɛ³³
118	143.0	worm	虫	chóng	bo²di¹	bʉ̤²¹di⁵⁵	dzɿ²¹di²⁴	bə²¹	a⁵⁵ɲa³³dzɿ²¹dy²⁴	bi²¹di⁵⁵	bɨ²¹tɕi²⁴tɕi²⁴	bi²¹bi³³
119	142.0	earthworm	蚯蚓	qiūyǐn	a¹di¹	ʂa⁵⁵kʰə³³bʉ̤²¹di⁵⁵ʔɲi⁵⁵	ĩ²¹dzɿ²¹di²⁴	a⁵⁵di²⁴	a⁵⁵ɲa³³dzɿ²¹dy²⁴	a⁵⁵di⁵⁵	an²⁴ti³³ki³³li³³	bi²¹la³³kɛ˞⁵⁵
120		shirt	衬衫	chènshān		tsʰɛn⁵⁵ji³³						
121	967.0	left	左边	zuǒbiān	ʔvɛ²	ʔvɛ̤²¹si⁵⁵	lɛ⁴⁴vɛ˞⁵⁵se⁴⁴	lei⁴²vɛ²¹	ɛ˞²¹pʰɛi³³	vɛ²¹sɿ⁵⁵	ma³³pʰa̠²¹	tʰa²¹pʰiɛ˞³³bei³³lei³³
122	132.0	honeybee	蜜蜂	mìfēng	bja²	ba̤²¹	bɑ²¹	bia²¹	hĩ⁵⁵ba²¹	do⁵⁵ka³³bo²¹	bo²¹	ba²²ɲo²¹
