ID	Parameter	English	Chinese	Pinyin	Pla	CW-QY	W-SZP	E-DC	XZ	MD	Eka	YL
0	749.0	fly	飞	fēi	bjy¹	by⁵⁵	by²⁴	biɔ²⁴	by²⁴	bə⁵⁵	bə²⁴	bɨ³³
1	813.0	straight	直 (棍子很直)	zhí	dʒaŋ²	tʂʅ¹³	dʑy³³	dza²¹	dʐa²¹		dza²¹	tsɿ²⁴
2	403.0	bracelet	手镯	shǒuzhuó	le̠ᶫgoŋ¹	lɛ̠²¹a²¹wo⁵⁵	le⁵⁵wo³³	lei⁴²gɤ̪²⁴	lɛi³³gv̩˞²⁴	lu²¹gu⁵⁵	lu²¹gu²⁴,lv̩²¹gv̩²⁴	lei⁵⁵go³³
3	67.0	afternoon	下午	xiàwǔ	a¹mo²kʰɨ̠ᶫ	a⁵⁵ŋ̩̩²¹kʰɨ̠²¹ji⁵⁵	a⁵⁵mu²¹kʰəʔ⁵⁵	dzɔ²⁴ji³³dzɔ²¹ji²¹	a³⁵mv̩⁴¹kʰɨ³³li³³	la²¹vã⁵⁵	la²¹vaŋ⁵³	n̩²¹kʰɨ⁵³
4	68.0	dusk/evening	黄昏	huánghūn	a¹mo²ɣɨ¹	a⁵⁵ŋ̩̩²¹ɣɨ⁵⁵ø⁵⁵ji⁵⁵	a⁵⁵mu²¹ɣɨ²⁴ɕi³³ɕi³³	a⁵⁵mə²¹ɣə²⁴tɕia³³	a³⁵mv̩⁴¹ɣɨ²⁴	la²¹vã⁵⁵wo²¹vɛ³³	aŋ²⁴kʰɨ̠²¹	miɛ˞⁴⁵tə⁴²ɲa³³
5	68.1	dusk/evening	黄昏	huánghūn	a¹mo²kʰɨ̠ᶫ		a⁵⁵mu²¹ɣɨ²⁴ɕi³³ɕi³³	a⁵⁵mə²¹ɣə²⁴tɕia³³			aŋ²⁴kʰɨ̠²¹	miɛ˞⁴⁵tə⁴²ɲa³³
6	737.0	roll	滚 (石头滚)	gǔn	ʔly³/²	koŋ²¹,ʔlø̠³³	ly³³	va³³	va³³	lə³³kɛ⁵⁵	lə³³	kuən²¹
7	234.0	mouth	嘴	zuǐ	kʰa²pe̠ᶫ	kʰa²¹pʰɛ³³	kʰə/a²¹pʰɛʔ⁵³	kʰa²¹pei⁴²	kʰa³³pɛi³³	mə³³tʃu⁵⁵	ɛ²¹mə³³	ma²¹nɛ˞⁵³
8	234.1	mouth	嘴	zuǐ	kʰa²pe̠ᶫ	kʰa²¹pʰɛ³³	kʰə/a²¹pʰɛʔ⁵³	kʰa²¹pei⁴²	kʰa³³pɛi³³		ɛ²¹mə³³	ma²¹nɛ˞⁵³
9	235.0	lips	嘴唇	zuǐchún	mɨ²la³				mɛ˞³³lɛ˞³³gɨ²⁴	n̩²¹la̠³³	ɛ²¹mə³³pʰi³³la̠ʔ²¹	
10	235.1	lips	嘴唇	zuǐchún	mɨ²be³dzi³	mʉ³³dzɿ³³	m̩²¹bei⁴⁴dzɿ³³	mə³³dzɿ³³kə²¹				ma²¹nɛ˞⁴⁵bɛ˞⁵³
11	851.0	cool	凉快	liángkuài		lia̠ŋ²¹		ɕi⁵⁵ɕi⁴²	liaŋ²¹xue²¹	tɕʰi̠²¹	a³³tɕʰi⁵⁵tɕʰio⁵³	lo³³xei³³
12	415.0	shoulder bag	肩袋	jiāndài	ta²la²py³	tɛ̤²¹lɛ̠²¹py³³	ta²¹la(n)²¹py³³	tɔ²¹pə⁵⁵xə⁵⁵	to²¹py³³pɛ˞³³ʂʅ²¹	ta²¹pə³³	ɛ⁵⁵bɛ³³pu²⁴tso²¹	ta²¹pɨ³³
13	191.2	grass	草	cǎo	mo̠ᶫ					mo²¹	mu̠ʔ²¹	
14	191.0	grass	草	cǎo	ʃɨ²by̠ᶫ	ʂʅ²¹	ʂʅ²¹	sɿ²¹pə⁴²	ʂʅ²¹bɛi²¹			pə⁵⁵sɿ²¹
15	191.1	grass	草	cǎo	ʃɨ²by̠ᶫ			sɿ²¹pə⁴²	ʂʅ²¹bɛi²¹			pə⁵⁵sɿ²¹
16	228.0	eye	眼睛	yǎnjīng	ʔmje̠Hsɛ²	ʔmɛ̠³³sɛ²¹	mei⁵⁵sɛ²¹nɛ⁴⁴	mi³³sɛ²¹	mi⁴⁵³sɛ˞²¹	mi³³ɕɛ²¹	mɨ³³ɕɛ²¹	mi⁵⁵sɛ˞⁴¹
17	569.0	sit	坐	zuò	ni¹	ni⁵⁵		ni²⁴	ɲi²⁴			tsʰo⁵³
18	569.1	sit	坐	zuò	di¹		di²⁴			di⁵⁵	di²⁴	tsʰo⁵³
19	580.0	awake	醒 (睡醒)	(shuì) xǐng	xa̠ᶫ	ɦɛ⁵⁵xa̠²¹	hã⁵³	xo⁴²tɕʰi²¹	xo³³	tʃɿ³³mɨ⁵⁵	xo̠²¹loŋ⁵³	han⁵⁵tə³³
20	222.0	brains	脑髓	nǎosuǐ	ʔnu̠ᶫ	ʔnə̠²¹	nu⁵³	nu⁴²	no³³hõ³³	xo²¹pu⁵⁵nu²¹ɣɨ⁵⁵, pu⁵⁵no²¹	ɛ³³nu̠²¹	no⁴⁵³
21	729.0	smoke	冒烟	màoyān	ʃɨ̠H/ᶫ	ŋ²¹kʰə²¹tə⁵⁵	n̩²¹kʰu²¹tu⁵³	du³³		sɿ²¹do³³	a²⁴tu̠³¹xə³³ai²¹	mi⁵⁵kʰo²¹du³³
22	280.0	navel	脐 (肚脐)	qí(dùqí)	tʃʰe̠H du¹/²	tɕʰɛ̠³³ma³³də²¹	du²⁴tsʰɛ²¹	zɿ⁴²kɤ̪³³tei³³	tɕʰi⁴⁵mu⁵⁵du²¹	toŋ²¹tsu⁵⁵lu³³	tɕiŋ²⁴du³³	tsʰai⁵⁵do⁴¹
23	527.0	chew	嚼	jiáo	ga²	ɦa̤²¹	ɣa²¹	gɔ²¹	go²¹	go²¹	go²¹	gua²¹
24	441.0	loom	织布机	zhībùjī		dzɛ̠³³	mɛ˞⁵⁵dɛ²¹	pʰiɔ²¹dzɿ³³lɔ³³	mɛ˞³⁵tʂʰɛ˞²¹lɛ˞⁵³	dzaŋ²¹, koŋ²¹	goŋ²¹,mɛ²⁴tɕɛ²¹lu²⁴	ʝi⁵³
25	563.0	massage	按摩	ànmó	ʒi̠ᶫ	tso̠³³	zɿ⁵³	tsu³³	tsu̠³³gɨ²¹	tsa̠⁵⁵	nɛ̠³¹pʰuɛ²⁴	i⁵³
26	600.0	sell	卖	mài	vo²	a̤²¹	ɣo²¹	ɣʷɔ²¹	vv̩˞²¹	vu²¹, vuŋ²⁵	vv̩²¹	vv̩²¹
27	82.0	goat	山羊	yáng	a¹tʃʰi̠ᶫ	a⁵⁵tʂʰʅ̠²¹	a³³tʂʰʅ⁵³	a⁵⁵tsʰɿ⁴²	a³³tʂʰʅ³³	a⁵⁵tɕʰi̠²¹	a²⁴tɕʰio⁴²	a⁴⁴tsʰɿ⁵³
28	845.0	late	迟 (来迟了)	chí	mja³	mi³³	ma³³	miɔ³³	mo³³	la³³mɨ⁵⁵	laŋ²⁴	ma³³
29	601.0	count (number)	数 (数东西)	shù	ɣo³			ɣə³³	vv̩˞²⁴ʔĩ⁴⁵³		ɣɨ³³	
30	601.1	count (number)	数 (数东西)	shù	gjaŋ¹	gu⁵⁵				ku³³tʃa⁵⁵		
