Grapheme	IPA
$	NULL
(	NULL
)	NULL
/g	g
/h	h
/kʰ	kʰ
/tʰ	tʰ
H	H/¹ +
H$	H/¹
H/ᶫ	Hᶫ/³ +
H/ᶫ$	Hᶫ/³
NULL	NULL
bβ	bv
uʲo	uʲ/ɥ o
^	NULL
a	a
ai	ai
ai̠	ai̠/a̠i
ao	ao
ao̠	a̠o
aʲ	aʲ/ai
aʲo	aʲo/ao
a˞	a˞/a
ã	ã
a̠	a̠
a̤	a̤
ḁ	ḁ/a
a̰	a̰
b	b
bʲ	bʲ
c	c
d	d
dz	dz
dʐ	ɖʐ
dʐʅ/ə²¹	ɖʐ ʅ ²¹ +
dʐʅ/ə²¹$	ɖʐ ʅ ²¹
dʐʷ	ɖʐʷ
dʑ	dʑ
dʒ	dʒ
e	e
e/ĩ	e/i
e/ɛ	e/ɛ
ei	ei
eĩ	eĩ
oa	o/w a
ei̤	e̤i
eo	eo
eʲ̤	eʲ/e̤i
ẽ	ẽ
e̠	e̠
e̤	e̤
f	f
f̩	f̩
g	g
h	h
hõ˞	h õ˞/õ
hʷ	hʷ
i	i
ia	i/j a
iao	i/j ao
iau	i/j au
ia̠	i/j a̠
io	i/j o
iɔ	i/j ɔ
uo	u/w o
io̤	i/j o̤
iɛ	i/j ɛ
iɛ˞	i/j ɛ˞/ɛ
iɛ̠	i/j ɛ̠
ĩ	ĩ
i̠	i̠
i̤	i̤
i̥	i̥
j	j
jou	j ou
jɛ̃	j ɛ̃
k	k
kʰ	kʰ
kʰv̩̩²⁴	kʰ v̩ ²⁴ +
kʰv̩̩²⁴$	kʰ v̩ ²⁴
kᶠʰ	kᶠʰ/kʰ
l	l
m	m
my/øʔ⁵³	m y/ø ʔ ⁵³ +
my/øʔ⁵³$	m y/ø ʔ ⁵³
mɤ̪˞̪²¹	m ɤ̪˞/ɤ ²¹ +
mɤ̪˞̪²¹$	m ɤ̪˞/ɤ ²¹
m̩	m̩
n	n
n̩	n̩
n̩̩	n̩
o	o
ou	ou
oʲ	oʲ/oi
õ	õ
o̠	o̠
uo̠	u/w o̠
tʰuei̤²¹	tʰ u/w e̤i ²¹
o̤	o̤
o̪	o̪/o
p	p
pʰ	pʰ
pʰᶠ	pfʰ
pʰᶠɤ̪˞̪⁵⁵	pfʰ ɤ̪˞/ɤ ⁵⁵ +
pʰᶠɤ̪˞̪⁵⁵$	pfʰ ɤ̪˞/ɤ ⁵⁵
pʷ	pʷ
pᶠʰ	pfʰ
q	q
q/k	q/k
s	s
t	t
ts	ts
tsʰ	tsʰ
tsʰʷ	tsʷʰ
tɕ	tɕ
tɕʰ	tɕʰ
tʂ	ʈʂ
tʂʰ	ʈʂʰ
tʂʷ	ʈʂʷ
tʃ	tʃ
tʃʰ	tʃʰ
tʃ̠ʰ	tʃ̠ʰ
tʰ	tʰ
tʰˣ	tʰ
u	u
u/v̩	u/v̩
ua	u/w a
uai	u/w ai
uai̠	u/w ai̠/a̠i
ui	u/w i
uã	u/w ã
uə	u/w ə
uɛ	u/w ɛ
uɛi	u/w ɛi
uɛʲ	u/w ɛʲ/ɛi
uɛ˞	u/w ɛ˞/ɛ
uɛ̃	u/w ɛ̃
uɛ̠	u/w ɛ̠
uʲ	uʲ/ui
ũ	ũ
u̠	u̠
ṳ	ṳ
u̥	u̥
uẽ	u/w ẽ
v	v
v˞	v̩˞/v̩
v˞̩	v̩˞/v̩
v̩	v̩
