ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,Source_ID,SubGroup
ProtoLalo,Proto-Lalo,,,,,,,Sino-Tibetan,,Pla,Lalo
Qingyun,Qingyun,xish1235,,,,,,Sino-Tibetan,"Dali Prefecture, Weishan County, Ma'anshan, Qingyun",CW-QY,Lalo
Shuizhuping,Shuizhuping,west1506,,,,,,Sino-Tibetan,"Dali Prefecture, Yangbi County, Longtan, Shuizhuping",W-SZP,Lalo
Diaocao,Diaocao,dong1286,,,,,,Sino-Tibetan,"Dali Prefecture, Dali Municipality, Shijiao qu Diaocao",E-DC,Lalo
Xuzhang,Xuzhang,xuzh1234,,,,,,Sino-Tibetan,"Baoshan Prefecture, Longyang Area, Wafang, Xuzhang",XZ,Lalo
Mangdi,Mangdi,sout3210,,,,,,Sino-Tibetan,"Lincang Prefecture, Gengma County, Hepai, Mangdi",MD,Lalo
Yijiacun,Yijiacun,ekaa1234,,,,,,Sino-Tibetan,"Lincang Prefecture, Shuangjiang County, Heliu, Yijiacun",Eka,Lalo
Yangliu,Yangliu,yang1304,,,,,,Sino-Tibetan,"Baoshan Prefecture, Longyang Area, Yangliu",YL,Lalo
