ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss
Yang-2011-1014-1,sky,1732,SKY,天 (天空)
Yang-2011-1014-2,sun,1343,SUN,太阳
Yang-2011-1014-3,sunshine,3276,SUNSHINE,阳光
Yang-2011-1014-4,moon,1313,MOON,月亮
Yang-2011-1014-5,star,1430,STAR,星星
Yang-2011-1014-6,cloud,1489,CLOUD,云
Yang-2011-1014-7,wind,960,WIND,风
Yang-2011-1014-8,rain,658,RAIN (PRECIPITATION),雨
Yang-2011-1014-9,lightning,1654,LIGHTNING,闪电
Yang-2011-1014-10,thunder,1150,THUNDER,雷
Yang-2011-1014-11,rainbow,1733,RAINBOW,彩虹
Yang-2011-1014-12,snow,784,SNOW,雪
Yang-2011-1014-13,water,948,WATER,水
Yang-2011-1014-14,fog,249,FOG,雾
Yang-2011-1014-15,frost,2034,FROST,霜
Yang-2011-1014-16,dew,1977,DEW,露
Yang-2011-1014-17,hail,609,HAIL,雹 (雹暴)
Yang-2011-1014-18,earth,2159,GROUND,地 (大地/草地)
Yang-2011-1014-19,soil; dirt,1015,SOIL,土(干) (土壤)
Yang-2011-1014-20,mud,640,MUD,泥(巴)
Yang-2011-1014-21,river,666,RIVER,河
Yang-2011-1014-22,ditch,2002,DITCH,沟
Yang-2011-1014-23,pond,2035,POND,池塘
Yang-2011-1014-24,puddle,2290,PUDDLE,小池塘
Yang-2011-1014-26,well outside,954,WELL,井
Yang-2011-1014-27,mountain (dirt),639,MOUNTAIN,山(土山)
Yang-2011-1014-28,cliff,992,CLIFF,悬崖
Yang-2011-1014-29,valley,921,VALLEY,(山)谷
Yang-2011-1014-30,cave,1155,CAVE,(山)洞
Yang-2011-1014-31,hole (in ground),1667,HOLE,洞
Yang-2011-1014-32,gold,1369,GOLD,金
Yang-2011-1014-33,silver,759,SILVER,银
Yang-2011-1014-34,iron (ore),621,IRON,铁
Yang-2011-1014-35,tin,893,TIN (METAL),锡
Yang-2011-1014-36,coal,2658,COAL,煤
Yang-2011-1014-37,stone,857,STONE,石头
Yang-2011-1014-38,sand,671,SAND,沙
Yang-2011-1014-39,fire,221,FIRE,火
Yang-2011-1014-40,flame,889,FLAME,火焰
Yang-2011-1014-41,smoke,778,SMOKE (EXHAUST),烟 (炊烟)
Yang-2011-1014-42,night,1233,NIGHT,夜
Yang-2011-1014-43,day,1260,DAY (24 HOURS),天
Yang-2011-1014-44,today,1283,TODAY,今天
Yang-2011-1014-45,yesterday,1174,YESTERDAY,昨天
Yang-2011-1014-46,day before yesterday,1180,DAY BEFORE YESTERDAY,前天
Yang-2011-1014-47,three days ago,2333,THREE DAYS BEFORE NOW,大前天
Yang-2011-1014-48,four days ago,3278,FOUR DAYS BEFORE NOW,四天前
Yang-2011-1014-49,tomorrow,1329,TOMORROW,明天
Yang-2011-1014-50,day after tomorrow,1179,DAY AFTER TOMORROW,后天
Yang-2011-1014-51,three days from now,2332,THREE DAYS FROM NOW,大后天
Yang-2011-1014-52,four days from now,3277,FOUR DAYS FROM NOW,四天后
Yang-2011-1014-53,year,1226,YEAR,年
Yang-2011-1014-54,new year,,,新年
Yang-2011-1014-55,this year,513,THIS YEAR,今年
Yang-2011-1014-56,last year,514,LAST YEAR,去年
Yang-2011-1014-57,year before last,2331,YEAR BEFORE LAST YEAR,前年
Yang-2011-1014-58,three years ago,,,大前年
Yang-2011-1014-59,four years ago,,,四年前
Yang-2011-1014-60,next year,515,NEXT YEAR,明年
Yang-2011-1014-61,year after next,2330,YEAR AFTER NEXT YEAR,后年
Yang-2011-1014-62,three years from now,,,大后年
Yang-2011-1014-63,four years from now,,,四年后
Yang-2011-1014-64,daytime,1225,DAY (NOT NIGHT),白天
Yang-2011-1014-65,dawn,729,DAWN,黎明
Yang-2011-1014-66,morning (early),1339,MORNING,早晨
Yang-2011-1014-67,noon,12,MIDDAY,中午
Yang-2011-1014-68,afternoon,1807,AFTERNOON,下午
Yang-2011-1014-69,dusk/evening,1629,EVENING,黄昏
Yang-2011-1014-70,night(time),,,夜(里)/黑夜
Yang-2011-1014-71,this evening,,,今晚
Yang-2011-1014-72,this morning,,,今早
Yang-2011-1014-73,time,892,TIME,时间
Yang-2011-1014-74,cow,3044,BOVINE,牛
Yang-2011-1014-75,buffalo (water),934,BUFFALO,水牛
Yang-2011-1014-76,field cow,1153,CATTLE,黄牛
Yang-2011-1014-77,horse,615,HORSE,马
Yang-2011-1014-78,pig,1337,PIG,猪
Yang-2011-1014-79,sow,1351,SOW (FEMALE PIG),母猪
Yang-2011-1014-80,piglet,2564,PIGLET,小猪
Yang-2011-1014-81,boar,1348,BOAR,公猪
Yang-2011-1014-82,boar (wild),3154,WILD BOAR,野猪
Yang-2011-1014-83,goat,1502,GOAT,山羊
Yang-2011-1014-84,ram,1344,RAM,公羊
Yang-2011-1014-85,sheep,1331,SHEEP,绵羊
Yang-2011-1014-86,dog,2009,DOG,狗
Yang-2011-1014-87,cat,1208,CAT,猫
Yang-2011-1014-88,rabbit,1136,RABBIT,兔子
Yang-2011-1014-89,dragon,2038,DRAGON,龙
Yang-2011-1014-90,animal,619,ANIMAL,动物
Yang-2011-1014-91,wild animal,958,WILD ANIMAL,野兽
Yang-2011-1014-92,bear,1820,BEAR,熊
Yang-2011-1014-93,tiger,846,TIGER,老虎
Yang-2011-1014-94,leopard; panther,1139,LEOPARD,豹
Yang-2011-1014-95,wolf,522,WOLF,狼
Yang-2011-1014-96,monkey,1350,MONKEY,猴子
Yang-2011-1014-97,otter,15,OTTER,水獭
Yang-2011-1014-98,weasel,,,黄鼠狼
Yang-2011-1014-99,pangolin,2508,PANGOLIN,穿山甲
Yang-2011-1014-100,muntjak deer,3152,MUNTJACS,麂子／赤鹿
Yang-2011-1014-101,sambar deer,,,水鹿/黑鹿
Yang-2011-1014-102,porcupine,2510,PORCUPINE,豪猪/箭猪
Yang-2011-1014-103,rat; mouse,2139,MUROID (MOUSE OR RAT),老鼠
Yang-2011-1014-104,squirrel,1628,SQUIRREL,松鼠
Yang-2011-1014-105,chicken,1318,CHICKEN,鸡
Yang-2011-1014-106,rooster,1511,ROOSTER,公鸡
Yang-2011-1014-107,hen,1514,HEN,母鸡
Yang-2011-1014-108,duck,1360,DUCK,鸭子
Yang-2011-1014-109,goose,1187,GOOSE,鹅
Yang-2011-1014-110,bird,937,BIRD,鸟
Yang-2011-1014-111,swallow,3077,SWALLOW (BIRD),燕子
Yang-2011-1014-112,sparrow,1854,SPARROW,麻雀
Yang-2011-1014-113,crow,913,CROW,乌鸦
Yang-2011-1014-114,magpie,2039,MAGPIE,喜鹊
Yang-2011-1014-115,dove; pigeon,1853,DOVE,鸽
Yang-2011-1014-116,pheasant,3060,PHEASANT,野鸟/野鸡
Yang-2011-1014-117,eagle; hawk,2683,EAGLE OR HAWK,老鹰
Yang-2011-1014-118,owl,735,OWL,猫头鹰
Yang-2011-1014-119,bat,1793,BAT,蝙蝠
Yang-2011-1014-120,frog,503,FROG,青蛙
Yang-2011-1014-121,toad,894,TOAD,癞蛤蟆
Yang-2011-1014-122,fish,227,FISH,鱼
Yang-2011-1014-123,snake,730,SNAKE,蛇
Yang-2011-1014-124,lizard,632,LIZARD,蜥蜴／壁虎
Yang-2011-1014-125,leech,2273,LEECH,蚂蟥/水蛭
Yang-2011-1014-126,spider,843,SPIDER,蜘蛛
Yang-2011-1014-127,insect,620,INSECT,昆虫
Yang-2011-1014-128,ant,587,ANT,蚂蚁
Yang-2011-1014-129,termite,883,TERMITE,白蚁
Yang-2011-1014-130,mantis,3279,MANTIS,螳螂
Yang-2011-1014-131,roach,1575,COCKROACH,蟑螂
Yang-2011-1014-132,fly,1504,FLY (INSECT),苍蝇
Yang-2011-1014-133,honeybee,665,BEE,蜜蜂
Yang-2011-1014-134,wasp,1517,WASP,黄蜂
Yang-2011-1014-135,mosquito,1509,MOSQUITO,蚊子
Yang-2011-1014-136,dragonfly,2352,DRAGONFLY,蜻蜓
Yang-2011-1014-137,butterfly,1791,BUTTERFLY,蝴蝶
Yang-2011-1014-138,cricket,2354,CRICKET,蟋蟀
Yang-2011-1014-139,grasshopper,607,GRASSHOPPER,蚱蜢
Yang-2011-1014-140,flea,232,FLEA,跳蚤
Yang-2011-1014-141,louse (clothing),1392,LOUSE,虱子(衣上)
Yang-2011-1014-142,centipede,1974,CENTIPEDE,蜈蚣
Yang-2011-1014-143,earthworm,2350,EARTHWORM,蚯蚓
Yang-2011-1014-144,worm,1219,WORM,虫
Yang-2011-1014-145,caterpillar,2247,CATERPILLAR,毛虫
Yang-2011-1014-146,maggot,2640,LARVA,蛆/蛆虫
Yang-2011-1014-147,nest,539,NEST,窝 (鸟窝)
Yang-2011-1014-148,egg,744,EGG,蛋
Yang-2011-1014-149,wing,1257,WING,翅膀
Yang-2011-1014-150,claw; talon,72,CLAW,爪
Yang-2011-1014-151,hoof,152,HOOF,蹄
Yang-2011-1014-152,horn,1393,HORN (ANATOMY),角
Yang-2011-1014-153,tail,1220,TAIL,尾巴
Yang-2011-1014-154,tusk,3280,TUSK,长牙
Yang-2011-1014-155,(cocks)comb,188,COMB OF BIRD,冠（鸡冠）
Yang-2011-1014-156,tree,906,TREE,树
Yang-2011-1014-157,pine tree,1740,PINE,松树
Yang-2011-1014-158,fir tree,1915,FIR,杉树
Yang-2011-1014-159,willow tree,818,WILLOW,柳树
Yang-2011-1014-160,bamboo,1927,BAMBOO,竹子
Yang-2011-1014-161,bamboo shoot,2494,BAMBOO SHOOT,竹笋
